transcription	title_list_match	title_list_item	title_list_result	year	page	range_definition	location_list_match	location_list_item	location_list_result	company_pattern_match	company_pattern_item	company_pattern_result	address_pattern_match	address_pattern_item	address_pattern_result	phone_number_pattern_match	phone_number_pattern_item	phone_number_pattern_result	telegraph_pattern_match	telegraph_pattern_item	telegraph_pattern_result	title_pattern_match	title_pattern_item	title_pattern_result	title_best_match	title_best_match_type	title_best_match_strategy	goods_pattern_match	goods_pattern_item	goods_pattern_result	company_list_match	company_list_item	company_list_result	company_best_match	company_best_match_type	company_best_match_strategy
Sewing Threads				1938	32	index																True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Sewing Threads												
Zwirnerei Stroppel A.G., 46, Stauffacherquai, Zuerich; Phone 51.939. (Factory in Turgi, canton Aargau.)				1938	32	index							True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	46, Stauffacherquai	True	(Phone ([A-Z][a-z]{1,10} )?[0-9]{1,5}((\/|\.| )[0-9]{1,5})?|Phones [0-9]{1,5}.{1,8};|Phone « [A-Z][a-z]{1,10} » [0-9]{1,6}|Phone [A-Z][a-z]{1,10}, [0-9]{1,6})	Phone 51.939										True	(?!\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(Factory in Turgi, canton Aargau.)						
Shellac				1938	32	index																True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Shellac												
Fritz Metzger, 96, Austrasse, Basle; Phone 21.344, Tele¬ grams «Metzger Basle Austrasse ».				1938	32	index							True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	96, Austrasse	True	(Phone ([A-Z][a-z]{1,10} )?[0-9]{1,5}((\/|\.| )[0-9]{1,5})?|Phones [0-9]{1,5}.{1,8};|Phone « [A-Z][a-z]{1,10} » [0-9]{1,6}|Phone [A-Z][a-z]{1,10}, [0-9]{1,6})	Phone 21.344	True	((Telegrams|Tele¬ grams|Telgrams|Tele grams) « ?[A-Z][a-z].{1,25}([a-z]|é) ?»|(Telegrams) « [A-Z][a-z].{1,25}[a-z](,| )|Telegrams [A-Z][a-z]{1,10})	Tele¬ grams «Metzger Basle Austrasse »															
Sherries (dry and half dry)				1938	32	index																						True	(?!\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(dry and half dry)						
La Maison Darphin, Zoug; Phone 40.496. Telegrams « Darphin », Zoug. Agent General and sole conces¬ sionnaire in Switzerland for Sanchez Romate Inos. SA., Jerez de la Frontera.				1938	32	index	True	Zoug.	Zoug.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	La Maison				True	(Phone ([A-Z][a-z]{1,10} )?[0-9]{1,5}((\/|\.| )[0-9]{1,5})?|Phones [0-9]{1,5}.{1,8};|Phone « [A-Z][a-z]{1,10} » [0-9]{1,6}|Phone [A-Z][a-z]{1,10}, [0-9]{1,6})	Phone 40.496	True	((Telegrams|Tele¬ grams|Telgrams|Tele grams) « ?[A-Z][a-z].{1,25}([a-z]|é) ?»|(Telegrams) « [A-Z][a-z].{1,25}[a-z](,| )|Telegrams [A-Z][a-z]{1,10})	Telegrams « Darphin »										True	La Maison Darphin	La Maison Darphin	La Maison Darphin	list	longest_match
Jean Haecky, Importation S.A., Basle; Phone 28.814, Telegrams «Haecky Basler, General Agents for Switzerland for Delaforce Sherry.				1938	32	index										True	(Phone ([A-Z][a-z]{1,10} )?[0-9]{1,5}((\/|\.| )[0-9]{1,5})?|Phones [0-9]{1,5}.{1,8};|Phone « [A-Z][a-z]{1,10} » [0-9]{1,6}|Phone [A-Z][a-z]{1,10}, [0-9]{1,6})	Phone 28.814																		
Shipping Agents				1938	32	index																True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Shipping Agents												
Basle Warehouse Co., Ltd., 1, Erlenstrasse, Basle; Phone 43.866, Telegrams « Warehouse », Basle.				1938	32	index	True	Basle.	Basle.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	Basle Warehouse Co., Ltd.	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	1, Erlenstrasse	True	(Phone ([A-Z][a-z]{1,10} )?[0-9]{1,5}((\/|\.| )[0-9]{1,5})?|Phones [0-9]{1,5}.{1,8};|Phone « [A-Z][a-z]{1,10} » [0-9]{1,6}|Phone [A-Z][a-z]{1,10}, [0-9]{1,6})	Phone 43.866	True	((Telegrams|Tele¬ grams|Telgrams|Tele grams) « ?[A-Z][a-z].{1,25}([a-z]|é) ?»|(Telegrams) « [A-Z][a-z].{1,25}[a-z](,| )|Telegrams [A-Z][a-z]{1,10})	Telegrams « Warehouse »															
Charles Braendli Ltd., 81 a, Engelgasse, Basle; Phone 41.840, Telegrams « Brandlibal ».				1938	32	index				True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	Charles Braendli Ltd.				True	(Phone ([A-Z][a-z]{1,10} )?[0-9]{1,5}((\/|\.| )[0-9]{1,5})?|Phones [0-9]{1,5}.{1,8};|Phone « [A-Z][a-z]{1,10} » [0-9]{1,6}|Phone [A-Z][a-z]{1,10}, [0-9]{1,6})	Phone 41.840	True	((Telegrams|Tele¬ grams|Telgrams|Tele grams) « ?[A-Z][a-z].{1,25}([a-z]|é) ?»|(Telegrams) « [A-Z][a-z].{1,25}[a-z](,| )|Telegrams [A-Z][a-z]{1,10})	Telegrams « Brandlibal »															
Crowe & Co., Ltd., 67, Nauenstrasse, Basle; Phone 41.880, Telegrams « Crowe », Basle.				1938	32	index	True	Basle.	Basle.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	Crowe & Co., Ltd.	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	67, Nauenstrasse	True	(Phone ([A-Z][a-z]{1,10} )?[0-9]{1,5}((\/|\.| )[0-9]{1,5})?|Phones [0-9]{1,5}.{1,8};|Phone « [A-Z][a-z]{1,10} » [0-9]{1,6}|Phone [A-Z][a-z]{1,10}, [0-9]{1,6})	Phone 41.880	True	((Telegrams|Tele¬ grams|Telgrams|Tele grams) « ?[A-Z][a-z].{1,25}([a-z]|é) ?»|(Telegrams) « [A-Z][a-z].{1,25}[a-z](,| )|Telegrams [A-Z][a-z]{1,10})	Telegrams « Crowe »															
Cunard White Star Limited, Controller and Supervisors Office, Lucerne (Gebäude der Schweizerischen Kredit¬				1938	32	index																									True	Cunard White Star Limited	Cunard White Star Limited			
