transcription	title_pattern_match	title_pattern_item	title_pattern_result	year	page	range_definition	location_list_match	location_list_item	location_list_result	company_list_match	company_list_item	company_list_result	goods_pattern_match	goods_pattern_item	goods_pattern_result	address_list_match	address_list_item	address_list_result	company_pattern_match	company_pattern_item	company_pattern_result	company_best_match	company_best_match_type	company_best_match_strategy	address_pattern_match	address_pattern_item	address_pattern_result	title_list_match	title_list_item	title_list_result	address_best_match	address_best_match_type	address_best_match_strategy
Sulzer Frères, S. A., Winterthur.				1927	20	index	True	Winterthur.	Winterthur.										True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sulzer Frères, S. A.												
Disinfecting apparatus				1927	20	index																						True	Disinfecting apparatus	Disinfecting apparatus			
Sulzer Frères S. A., Winterthur.				1927	20	index	True	Winterthur.	Winterthur.	True	Sulzer Frères S. A.	Sulzer Frères S. A.							True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sulzer Frères S. A.	Sulzer Frères S. A.	pattern	longest_match									
Disintegrators (electric)				1927	20	index																						True	Disintegrators (electric)	Disintegrators (electric)			
Sauerstoff- und Wasserstoff-Werk, A.-G., Lucerne.				1927	20	index	True	Lucerne.	Lucerne.	True	Sauerstoff- und Wasserstoff-Werk, A.-G.	Sauerstoff- und Wasserstoff-Werk, A.-G.																					
Drapery Merchants	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Drapery Merchants	1927	20	index																											
Bigar Frères (Grands Magasins Innovation, S.A.), 21, Rue du Pont, Lausanne.				1927	20	index	True	Lausanne.	Lausanne.	True	Bigar Frères (Grands Magasins Innovation, S.A.)	Bigar Frères (Grands Magasins Innovation, S.A.)							True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Bigar Frères	Bigar Frères (Grands Magasins Innovation, S.A.)	list	longest_match	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	21, Rue du Pont						
Bonnard & Cie., S.A., 14, Place St. François, Lausanne.				1927	20	index	True	Lausanne.	Lausanne.	True	Bonnard & Cie., S.A.	Bonnard & Cie., S.A.				True	Place St. François	Place St. François	True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Bonnard & Cie., S.A.	Bonnard & Cie., S.A.	pattern	longest_match	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	14, Place St. François				14, Place St. François	pattern	longest_match
H. de Groot, Albion House 22, Rue de Bourg, Lausanne.				1927	20	index	True	Lausanne.	Lausanne.	True	H. de Groot, Albion House	H. de Groot, Albion House							True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	H. de	H. de Groot, Albion House	list	longest_match	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	22, Rue de Bourg						
Gattiker & Steinmann (wholesale), Richterswil.				1927	20	index	True	Richterswil.	Richterswil.	True	Gattiker & Steinmann	Gattiker & Steinmann	True	(?!\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(wholesale)																		
A. & S. Henry & Co., Ltd. (wholesale), Leeds Road, Bradford.				1927	20	index	True	Bradford.	Bradford.	True	A. & S. Henry & Co., Ltd.	A. & S. Henry & Co., Ltd.	True	(?!\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(wholesale)	True	Leeds Road	Leeds Road	True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	A. & S. Henry & Co., Ltd.	A. & S. Henry & Co., Ltd.	pattern	longest_match									
Weith & Co., 27 Bourg, Lausanne.				1927	20	index	True	Lausanne.	Lausanne.	True	Weith & Co	Weith & Co				True	27 Bourg	27 Bourg	True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Weith & Co.	Weith & Co.	pattern	longest_match									
Drug Manufacturers	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Drug Manufacturers	1927	20	index																											
Aktiengesellschaft vorm. B. Siegfried, Zofingen.				1927	20	index	True	Zofingen.	Zofingen.	True	Aktiengesellschaft vorm. B. Siegfried	Aktiengesellschaft vorm. B. Siegfried																					
Chemische Fabrik vorm. Sandoz, Basle.				1927	20	index	True	Basle.	Basle.	True	Chemische Fabrik vorm. Sandoz	Chemische Fabrik vorm. Sandoz																					
Drying Plants	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Drying Plants	1927	20	index																											
Sulzer Frères, S. A., Winterthur.				1927	20	index	True	Winterthur.	Winterthur.										True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sulzer Frères, S. A.												
Dyestuff Manufacturers	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Dyestuff Manufacturers	1927	20	index																											
Chemische Fabrik vorm. Sandoz, Basle.				1927	20	index	True	Basle.	Basle.	True	Chemische Fabrik vorm. Sandoz	Chemische Fabrik vorm. Sandoz																					
Clayton Aniline Co., Ltd., Ashton New Road, Clayton, Manchester.				1927	20	index	True	Manchester.	Manchester.							True	Ashton New Road, Clayton	Ashton New Road, Clayton	True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Clayton Aniline Co., Ltd.												
Durand & Huguenin, S.A., Basle.				1927	20	index	True	Basle.	Basle.	True	Durand & Huguenin, S.A.	Durand & Huguenin, S.A.							True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Durand & Huguenin, S.A.	Durand & Huguenin, S.A.	pattern	longest_match									
J. R. Geig. S. A., Basle.				1927	20	index	True	Basle.	Basle.										True	(^.{1,30} ? (S\.A\.|Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. ?G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	J. R. Geig. S. A.												
Society of Chemical Industry in Basle, Basle.				1927	20	index	True	Basle.	Basle.	True	Society of Chemical Industry in Basle	Society of Chemical Industry in Basle																					
