transcription	board_title_pattern_match	board_title_pattern_item	board_title_pattern_result	year	page	range_definition	function_pattern_match	function_pattern_item	function_pattern_result	location_list_match	location_list_item	location_list_result	personal_titles_list_match	personal_titles_list_item	personal_titles_list_result	name_pattern_match	name_pattern_item	name_pattern_result	name_list_match	name_list_item	name_list_result	name_best_match	name_best_match_type	name_best_match_strategy
Council	True	(Council :|Council|ADVISORY COMMITTEES|Finance Commillee.|Propaganda Commillee.|Rhine Navigation Commillee.|Committee jor French Switzerland.|Watch Industries Commillee.|MEMBERS OF THE COUNCIL|THE COUNCIL IN 1922|Officers and Members of the Board|Active Members of the Board|Corresponding Members of the Board|Hon\. Members of the Board|THE BRITISH CHAMBER OF COMMERCE FOR SWITZERLAND|THE COUNCIL IN 1923|OFFICERS OF THE CHAMBER|Council:)	Council	1929	14	board_member																		
D. BARNETT, Esq.				1929	14	board_member							True	Esq.	Esq.	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	D. BARNETT	True	D. BARNETT	D. BARNETT	D. BARNETT	list	longest_match
Geneva				1929	14	board_member																		
L. H. BONNAIRE, Esq.				1929	14	board_member							True	Esq.	Esq.	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	L. H. BONNAIRE	True	L. H. BONNAIRE	L. H. BONNAIRE	L. H. BONNAIRE	list	longest_match
Bienne				1929	14	board_member																		
AS. EASTON, Esq.				1929	14	board_member							True	Esq.	Esq.	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	AS. EASTON						
Zurich.				1929	14	board_member				True	Zurich.	Zurich.												
G. E. FARR. Esq.				1929	14	board_member							True	Esq.	Esq.	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	G. E. FARR						
Berne.				1929	14	board_member				True	Berne.	Berne.												
A. GOODREHERE, Esq.				1929	14	board_member							True	Esq.	Esq.	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	A. GOODREHERE						
Basle				1929	14	board_member																		
A. S. HANMER, Esq.				1929	14	board_member							True	Esq.	Esq.	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	A. S. HANMER						
Lucerne.				1929	14	board_member				True	Lucerne.	Lucerne.												
A. KENNARD, Esq.				1929	14	board_member							True	Esq.	Esq.	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	A. KENNARD						
Zurich.				1929	14	board_member				True	Zurich.	Zurich.												
B. KLER, Esq.				1929	14	board_member							True	Esq.	Esq.	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	B. KLER						
Zurich.				1929	14	board_member				True	Zurich.	Zurich.												
S. RUSSELL, Esq.				1929	14	board_member							True	Esq.	Esq.	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	S. RUSSELL						
Olten.				1929	14	board_member				True	Olten.	Olten.												
