transcription	location_list_match	location_list_item	location_list_result	company_pattern_match	company_pattern_item	company_pattern_result	goods_pattern_match	goods_pattern_item	goods_pattern_result	year	page	range_definition	title_pattern_match	title_pattern_item	title_pattern_result	address_list_match	address_list_item	address_list_result	address_pattern_match	address_pattern_item	address_pattern_result	address_best_match	address_best_match_type	company_list_match	company_list_item	company_list_result	title_list_match	title_list_item	title_list_result	goods_list_match	goods_list_item	goods_list_result	company_best_match	company_best_match_type	goods_best_match	goods_best_match_type
The British Cycle & Motor Cycle Manufacturers and Traders, Union Ltd. The Towers, Warwick Road, Coventry.	True	Coventry.	Coventry.							1925	27	index				True	Warwick Road	Warwick Road						True	The British Cycle & Motor Cycle Manufacturers and Traders, Union Ltd.	The British Cycle & Motor Cycle Manufacturers and Traders, Union Ltd.										
Engines (steam, marine and stationary)										1925	27	index															True	Engines (steam, marine and stationary)	Engines (steam, marine and stationary)							
Sulzer Frères S. A., Winterthur.	True	Winterthur.	Winterthur.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sulzer Frères S. A.				1925	27	index																								
Exporters										1925	27	index	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Exporters																					
Ackroyd Brothers (English and colonial wool, tops, noils and wastes in all qualities and descriptions) Imperial Buildings, Bradford.	True	Bradford.	Bradford.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Ackroyd Brothers	True	(\(.{1,150}\),? ?)	(English and colonial wool, tops, noils and wastes in all qualities and descriptions)	1925	27	index				True	Imperial Buildings	Imperial Buildings																		
Thomas Adams, Ltd., Nottingham, London and Manchester.	True	Manchester.	Manchester.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Thomas Adams, Ltd.				1925	27	index																								
Aktiengesellschaft vorm. B. Siegfried (drugs and chemicals), Zofingen.	True	Zofingen.	Zofingen.				True	(\(.{1,150}\),? ?)	(drugs and chemicals)	1925	27	index												True	Aktiengesellschaft vorm. B. Siegfried	Aktiengesellschaft vorm. B. Siegfried										
Max Burgauer (all kinds of St. Gall goods), 4, Dufourstrasse St. Gallen.	True	St. Gallen.	St. Gallen.				True	(\(.{1,150}\),? ?)	(all kinds of St. Gall goods)	1925	27	index							True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	4, Dufourstrasse			True	Max Burgauer	Max Burgauer										
Chas. Clay & Sons, Ltd. (export of Manchester piece goods), 53, Cheapside, Luton, Beds.				True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Chas. Clay & Sons, Ltd.	True	(\(.{1,150}\),? ?)	(export of Manchester piece goods)	1925	27	index				True	53, Cheapside	53, Cheapside																		
Donzelot & Co., all kinds of tools, also for watchmaking and precision work), 6, Rue du Marché, Porrentruy.	True	Porrentruy.	Porrentruy.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Donzelot & Co.				1925	27	index							True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	6, Rue du Marché									True	all kinds of tools, also for watchmaking and precision work)	all kinds of tools, also for watchmaking and precision work)				
F. Fankhauser & Co., A. G. (silk yarns, pure and artificial, all kinds), 5, Pelikanweg, Basle.	True	Basle.	Basle.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	F. Fankhauser & Co., A. G.	True	(\(.{1,150}\),? ?)	(silk yarns, pure and artificial, all kinds)	1925	27	index							True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	5, Pelikanweg															
I. Hopf & Co. (spun silk, silk nois, artificial silk, artificial spun silk and wastes of every description), 12, Aeschengraben, Basle.	True	Basle.	Basle.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	I. Hopf & Co.	True	(\(.{1,150}\),? ?)	(spun silk, silk nois, artificial silk, artificial spun silk and wastes of every description)	1925	27	index							True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	12, Aeschengraben															
Ed. A. Keller & Co., S. A. textiles and sundries), 33, Bahnhof¬ strasse, Zurich, (allied houses: Ed. A. Keller & Co, Ltd., Manila, Philippine Islands, and Keller, Kern & Co., Hong Kong).				True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Ed. A. Keller & Co.	True	(\(.{1,150}\),? ?)	(allied houses: Ed. A. Keller & Co, Ltd., Manila, Philippine Islands, and Keller, Kern & Co., Hong Kong)	1925	27	index							True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	33, Bahnhof¬ strasse			True	Ed. A. Keller & Co., S. A.	Ed. A. Keller & Co., S. A.				True	textiles and sundries)	textiles and sundries)	Ed. A. Keller & Co., S. A.	list	(allied houses: Ed. A. Keller & Co, Ltd., Manila, Philippine Islands, and Keller, Kern & Co., Hong Kong)	pattern
G. A. Meyer & Co. artificial silk and textiles), Balfour House, 119/125, Finsbury Pavement, London E. C. 2.	True	London E. C. 2.	London E. C. 2.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	G. A. Meyer & Co.				1925	27	index				True	119/125, Finsbury Pavement	119/125, Finsbury Pavement												True	artificial silk and textiles)	artificial silk and textiles)				
Plantin & Co. (electric apparatus, wholesale), 22, Ruelle St. François, Lausanne.	True	Lausanne.	Lausanne.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Plantin & Co.	True	(\(.{1,150}\),? ?)	(electric apparatus, wholesale)	1925	27	index							True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	22, Ruelle St. François															
