transcription	company_list_match	company_list_item	company_list_result	company_2_pattern_match	company_2_pattern_item	company_2_pattern_result	year	page	range_definition	company_pattern_match	company_pattern_item	company_pattern_result	company_best_match	company_best_match_type	company_best_match_strategy	page_number_pattern_match	page_number_pattern_item	page_number_pattern_result	company_3_pattern_match	company_3_pattern_item	company_3_pattern_result
Chemical Works Flora	True	Chemical Works Flora	Chemical Works Flora	True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Chemical Works	1923	12	alphabetical												
Chemische Fabrik vorm. Sandoz 13	True	Chemische Fabrik vorm. Sandoz	Chemische Fabrik vorm. Sandoz	True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Chemische Fabrik	1923	12	alphabetical												
Chocolats de Villars, S. A.	True	Chocolats de Villars, S. A.	Chocolats de Villars, S. A.	True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Chocolats	1923	12	alphabetical							True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	S. A			
Church Street Manufacturing Co., Ltd. 10, 19	True	Church Street Manufacturing Co., Ltd.	Church Street Manufacturing Co., Ltd.	True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Church Street	1923	12	alphabetical	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Church Street Manufacturing Co.	Church Street Manufacturing Co., Ltd.	list	longest_match						
Clavel (A.) & Lindenmeyer (F.)	True	Clavel (A.) & Lindenmeyer (F.)	Clavel (A.) & Lindenmeyer (F.)	True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Clavel	1923	12	alphabetical										True	([A-Z][a-z]{1,10}.{1,10}\([A-Z].{1,10}\) ?&? ?(A. G.|A.G.|Son|Cie.|Co.,?|Frère,?)?,? ?(Ltd.|S. A.)?)	Clavel (A.) &
Clay (Chas.) & Sons, Ltd.	True	Clay (Chas.) & Sons, Ltd.	Clay (Chas.) & Sons, Ltd.	True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Clay	1923	12	alphabetical	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Clay (Chas.) & Sons, Ltd.	Clay (Chas.) & Sons, Ltd.	pattern	longest_match				True	([A-Z][a-z]{1,10}.{1,10}\([A-Z].{1,10}\) ?&? ?(A. G.|A.G.|Son|Cie.|Co.,?|Frère,?)?,? ?(Ltd.|S. A.)?)	Clay (Chas.) & Son
Clayton Aniline Co., Ltd.				True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Clayton Aniline	1923	12	alphabetical	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Clayton Aniline Co., Ltd.									
Coal Supply Co., Ltd. 3. 9				True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Coal Supply	1923	12	alphabetical	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Coal Supply Co., Ltd.									
Coate (C. P.). 12, 20				True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Coate	1923	12	alphabetical							True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	C. P	True	([A-Z][a-z]{1,10}.{1,10}\([A-Z].{1,10}\) ?&? ?(A. G.|A.G.|Son|Cie.|Co.,?|Frère,?)?,? ?(Ltd.|S. A.)?)	Coate (C. P.)
Comptoir d'Escompte de Genève				True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Comptoir	1923	12	alphabetical												
Cook (Thos.) & Son 18.				True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Cook	1923	12	alphabetical										True	([A-Z][a-z]{1,10}.{1,10}\([A-Z].{1,10}\) ?&? ?(A. G.|A.G.|Son|Cie.|Co.,?|Frère,?)?,? ?(Ltd.|S. A.)?)	Cook (Thos.) & Son
Courvoisier (A.) & Co. . *				True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Courvoisier	1923	12	alphabetical	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Courvoisier (A.) & Co.							True	([A-Z][a-z]{1,10}.{1,10}\([A-Z].{1,10}\) ?&? ?(A. G.|A.G.|Son|Cie.|Co.,?|Frère,?)?,? ?(Ltd.|S. A.)?)	Courvoisier (A.) & Co.
Cox (W. T.) & Co.				True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Cox	1923	12	alphabetical	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Cox (W. T.) & Co.				True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	W. T	True	([A-Z][a-z]{1,10}.{1,10}\([A-Z].{1,10}\) ?&? ?(A. G.|A.G.|Son|Cie.|Co.,?|Frère,?)?,? ?(Ltd.|S. A.)?)	Cox (W. T.) & Co.
Croal Spinning Co. (1920) Ltd. 11, 36				True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Croal Spinning	1923	12	alphabetical	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Croal Spinning Co. (1920) Ltd.									
Crossley (J.) & Co., Ltd.				True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Crossley	1923	12	alphabetical	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Crossley (J.) & Co., Ltd.							True	([A-Z][a-z]{1,10}.{1,10}\([A-Z].{1,10}\) ?&? ?(A. G.|A.G.|Son|Cie.|Co.,?|Frère,?)?,? ?(Ltd.|S. A.)?)	Crossley (J.) & Co., Ltd.
Crowe & Co., Ltd. 18, 23, 31, 34.40				True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Crowe & Co	1923	12	alphabetical	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Crowe & Co., Ltd.									
Cunard Steam Ship Co., Ltd. 35				True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Cunard Steam	1923	12	alphabetical	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Cunard Steam Ship Co., Ltd.									
