transcription	companypattern_match	company_pattern_item	company_pattern_result	company_list_match	company_list_item	company_list_result	company_found	company	company2_found	company2	page_numbers_found	page_numbers	year	page	range_definition	company3_found	company3
Savonnerie -Sunlight»	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sauter (Fritz) A. G.	True	Sauerstoff- und Wasserstoffwerk A. G.	Sauerstoff- und Wasserstoffwerk A. G.			True	Savonnerie			1923	18	alphabetical		
Sedgley & Lighting Ltd. 15, 21, 24, 32, 35, 38	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sedgley & Lighting Ltd.	True	Sauerstoff- und Wasserstoffwerk A. G.	Sauerstoff- und Wasserstoffwerk A. G.	True	Sedgley & Lighting Ltd.	True	Sedgley & Lighting	True	15, 21, 24, 32, 35, 38	1923	18	alphabetical		
Seiler & Co.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Seiler & Co.	True	Sauerstoff- und Wasserstoffwerk A. G.	Sauerstoff- und Wasserstoffwerk A. G.	True	Seiler & Co.	True	Seiler & Co			1923	18	alphabetical		
Selve & Co., Swiss Metal Works	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Selve & Co.	True	Selve & Co., Swiss Metal Works	Selve & Co., Swiss Metal Works	True	Selve & Co.	True	Selve & Co			1923	18	alphabetical		
Semon (Charles) & Co., Ltd.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Semon (Charles) & Co., Ltd.	True	Selve & Co., Swiss Metal Works	Selve & Co., Swiss Metal Works	True	Semon (Charles) &	True	Semon (Charles) &			1923	18	alphabetical	True	Semon (Charles) & Co., Ltd.
Senn & Co.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Senn & Co.	True	Selve & Co., Swiss Metal Works	Selve & Co., Swiss Metal Works	True	Senn & Co.	True	Senn & Co			1923	18	alphabetical		
Siegfried (B) Aktiengesellschaft vorm. 7, 13	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Senn & Co.	True	Siegfried (B) Aktiengesellschaft vorm.	Siegfried (B) Aktiengesellschaft vorm.			True	Siegfried	True	7, 13	1923	18	alphabetical		
Siegrist (Gebrüder) & Co.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Siegrist (Gebrüder) & Co.	True	Siegfried (B) Aktiengesellschaft vorm.	Siegfried (B) Aktiengesellschaft vorm.	True	Siegrist (Gebrüder) &	True	Siegrist			1923	18	alphabetical	True	Siegrist (Gebrüder) & Co.
Sigg Ltd.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sigg Ltd.	True	Siegfried (B) Aktiengesellschaft vorm.	Siegfried (B) Aktiengesellschaft vorm.	True	Sigg Ltd.	True	Sigg Ltd			1923	18	alphabetical		
Simonius, Vischer & Co. 4	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Simonius, Vischer & Co.	True	Siegfried (B) Aktiengesellschaft vorm.	Siegfried (B) Aktiengesellschaft vorm.	True	Simonius, Vischer & Co.	True	Simonius, Vischer	True	4	1923	18	alphabetical		
Skipworth (G. P. 3, 22, 26	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Simonius, Vischer & Co.	True	Siegfried (B) Aktiengesellschaft vorm.	Siegfried (B) Aktiengesellschaft vorm.			True	Skipworth	True	3, 22, 26	1923	18	alphabetical		
Soc. An. des Aciéries ci-dev. Georges Fischer 11, 26, 37, 41	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Soc. An	True	Soc. An. des Aciéries ci-dev. Georges Fischer	Soc. An. des Aciéries ci-dev. Georges Fischer			True	Soc	True	11, 26, 37, 41	1923	18	alphabetical		
Société de la Feuille d'Avis de Lausanne et des Imprimeries Réunies» S. A.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Soc. An	True	Société de la Feuille d'Avis de Lausanne et des Imprimeries Réunies» S. A.	Société de la Feuille d'Avis de Lausanne et des Imprimeries Réunies» S. A.			True	Soci			1923	18	alphabetical		
Société des Hoteliers de Lausanne-Ouchy	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Soc. An	True	Société des Hoteliers de Lausanne-Ouchy	Société des Hoteliers de Lausanne-Ouchy			True	Soci			1923	18	alphabetical		
Société Genevoise d'Instruments de Physique 14, 21, 22, 26	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Soc. An	True	Société Genevoise d'Instruments de Physique	Société Genevoise d'Instruments de Physique			True	Soci	True	14, 21, 22, 26	1923	18	alphabetical		
Société Industrielle pour la Schappe	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Soc. An	True	Société Industrielle pour la Schappe	Société Industrielle pour la Schappe			True	Soci			1923	18	alphabetical		
4, 7. Society of Chemical Industry in Basle. 13.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Soc. An	True	Society of Chemical Industry in Basle	Society of Chemical Industry in Basle			True	Society	True	4, 7	1923	18	alphabetical		
29, 31, South Eastern & Chatham Railway	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Soc. An	True	South Eastern & Chatham Railway	South Eastern & Chatham Railway			True	South Eastern	True	29, 31	1923	18	alphabetical		
Spencer (George), Moulton & Co., Ltd. 27. 33, 36.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Spencer (George), Moulton & Co.	True	Spencer (George), Moulton & Co., Ltd.	Spencer (George), Moulton & Co., Ltd.	True	Spencer (George), Moulton & Co.	True	Spencer			1923	18	alphabetical	True	Spencer (George)
Spyk (G. van)	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Spencer (George), Moulton & Co.	True	Spencer (George), Moulton & Co., Ltd.	Spencer (George), Moulton & Co., Ltd.			True	Spyk			1923	18	alphabetical	True	Spyk (G. van)
Suchard, S. A. 7.5	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Spencer (George), Moulton & Co.	True	Spencer (George), Moulton & Co., Ltd.	Spencer (George), Moulton & Co., Ltd.			True	Suchard, S. A.	True	5	1923	18	alphabetical		
Sulzer Frères S. A. 6, 7, 9, 12, 13, 15, 16, 17, 18, 20, 21, 23, 26. 30, 31, 32, 37	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sulzer Frères S. A.	True	Sulzer Frères S. A.	Sulzer Frères S. A.	True	Sulzer Frère	True	Sulzer Fr	True	30, 31, 32, 37	1923	18	alphabetical		
Swiss Bank Corporation	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sulzer Frères S. A.	True	Swiss Bank Corporation	Swiss Bank Corporation			True	Swiss Bank			1923	18	alphabetical		
Swiss Gas Stove Co. & "Electra"	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Swiss Gas Stove Co.	True	Swiss Gas Stove Co. & "Electra"	Swiss Gas Stove Co. & "Electra"	True	Swiss Gas Stove Co.	True	Swiss Gas			1923	18	alphabetical		
Swiss Hotel-Proprietors' Association	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Swiss Gas Stove Co.	True	Swiss Hotel-Proprietors' Association	Swiss Hotel-Proprietors' Association			True	Swiss Hotel			1923	18	alphabetical		
Swiss lewel Co., S. A. 12, 14, 23, 28	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Swiss lewel Co.	True	Swiss Hotel-Proprietors' Association	Swiss Hotel-Proprietors' Association	True	Swiss lewel Co.	True	Swiss	True	12, 14, 23, 28	1923	18	alphabetical		
Swiss Silk Bolting Cloth Manufacturing Co., Ltd. 6, 35	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Swiss Silk Bolting Cloth Manufacturing Co.	True	Swiss Hotel-Proprietors' Association	Swiss Hotel-Proprietors' Association	True	Swiss Silk Bolting Cloth Manufacturing Co.	True	Swiss Silk	True	6, 35	1923	18	alphabetical		
Scheidegger (Albert) & Co. 14	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Scheidegger (Albert) & Co.	True	Swiss Hotel-Proprietors' Association	Swiss Hotel-Proprietors' Association	True	Scheidegger (Albert) & Co.	True	Scheidegger	True	14	1923	18	alphabetical	True	Scheidegger (Albert) & Co.
Schenkel-Wyss (F.) 3, 4, 21, 26, 27, 28, 32, 33, 36, 37	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Scheidegger (Albert) & Co.	True	Swiss Hotel-Proprietors' Association	Swiss Hotel-Proprietors' Association			True	Schenkel	True	3, 4, 21, 26, 27, 28, 32, 33, 36, 37	1923	18	alphabetical	True	Schenkel-Wyss (F.)
Schetty (Färbereien) A. G. 13	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Schetty (Färbereien) A. G.	True	Swiss Hotel-Proprietors' Association	Swiss Hotel-Proprietors' Association	True	Schetty (Färbereien)	True	Schetty	True	13	1923	18	alphabetical	True	Schetty (Färbereien) A. G.
Schindler & Co. 11, 14, 15, 25, 26	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Schindler & Co.	True	Swiss Hotel-Proprietors' Association	Swiss Hotel-Proprietors' Association	True	Schindler & Co.	True	Schindler & Co	True	11, 14, 15, 25, 26	1923	18	alphabetical		
Schlatter (Max) & Co. 3.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Schlatter (Max) & Co.	True	Swiss Hotel-Proprietors' Association	Swiss Hotel-Proprietors' Association	True	Schlatter (Max) & Co.	True	Schlatter (Max) &			1923	18	alphabetical	True	Schlatter (Max) & Co.
Scholl's Orthopädische Spezialitäten, A. G. für	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Schlatter (Max) & Co.	True	Swiss Hotel-Proprietors' Association	Swiss Hotel-Proprietors' Association	True	Orthopädische Spezialitäten, A. G	True	Scholl			1923	18	alphabetical		
Schutz (Walter)	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Schlatter (Max) & Co.	True	Swiss Hotel-Proprietors' Association	Swiss Hotel-Proprietors' Association			True	Schutz			1923	18	alphabetical	True	Schutz (Walter)
